x,y,z
-0.46063,-0.318898,0.0192086
-0.46063,-0.311024,0.0199096
-0.46063,-0.30315,0.0205988
-0.46063,-0.295276,0.0212757
-0.46063,-0.287402,0.02194
-0.46063,-0.279528,0.0225913
-0.46063,-0.271654,0.0232292
-0.46063,-0.26378,0.0238532
-0.46063,-0.255906,0.0244631
-0.46063,-0.248031,0.0250585
-0.46063,-0.240157,0.025639
-0.46063,-0.232283,0.0262042
-0.46063,-0.224409,0.0267539
-0.46063,-0.216535,0.0272878
-0.46063,-0.208661,0.0278054
-0.46063,-0.200787,0.0283065
-0.46063,-0.192913,0.0287909
-0.46063,-0.185039,0.0292581
-0.46063,-0.177165,0.029708
-0.46063,-0.169291,0.0301403
-0.46063,-0.161417,0.0305547
-0.46063,-0.153543,0.030951
-0.46063,-0.145669,0.0313289
-0.46063,-0.137795,0.0316883
-0.46063,-0.129921,0.0320289
-0.46063,-0.122047,0.0323505
-0.46063,-0.114173,0.0326529
-0.46063,-0.106299,0.032936
-0.46063,-0.0984252,0.0331995
-0.46063,-0.0905512,0.0334434
-0.46063,-0.0826772,0.0336674
-0.46063,-0.0748031,0.0338715
-0.46063,-0.0669291,0.0340556
-0.46063,-0.0590551,0.0342194
-0.46063,-0.0511811,0.034363
-0.46063,-0.0433071,0.0344863
-0.46063,-0.0354331,0.0345891
-0.46063,-0.0275591,0.0346714
-0.46063,-0.019685,0.0347332
-0.46063,-0.011811,0.0347744
-0.46063,-0.00393701,0.034795
-0.46063,0.00393701,0.034795
-0.46063,0.011811,0.0347744
-0.46063,0.019685,0.0347332
-0.46063,0.0275591,0.0346714
-0.46063,0.0354331,0.0345891
-0.46063,0.0433071,0.0344863
-0.46063,0.0511811,0.034363
-0.46063,0.0590551,0.0342194
-0.46063,0.0669291,0.0340556
-0.46063,0.0748031,0.0338715
-0.46063,0.0826772,0.0336674
-0.46063,0.0905512,0.0334434
-0.46063,0.0984252,0.0331995
-0.46063,0.106299,0.032936
-0.46063,0.114173,0.0326529
-0.46063,0.122047,0.0323505
-0.46063,0.129921,0.0320289
-0.46063,0.137795,0.0316883
-0.46063,0.145669,0.0313289
-0.46063,0.153543,0.030951
-0.46063,0.161417,0.0305547
-0.46063,0.169291,0.0301403
-0.46063,0.177165,0.029708
-0.46063,0.185039,0.0292581
-0.46063,0.192913,0.0287909
-0.46063,0.200787,0.0283065
-0.46063,0.208661,0.0278054
-0.46063,0.216535,0.0272878
-0.46063,0.224409,0.0267539
-0.46063,0.232283,0.0262042
-0.46063,0.240157,0.025639
-0.46063,0.248031,0.0250585
-0.46063,0.255906,0.0244631
-0.46063,0.26378,0.0238532
-0.46063,0.271654,0.0232292
-0.46063,0.279528,0.0225913
-0.46063,0.287402,0.02194
-0.46063,0.295276,0.0212757
-0.46063,0.30315,0.0205988
-0.46063,0.311024,0.0199096
-0.46063,0.318898,0.0192086
-0.46063,0.326772,0.0184961
-0.46063,0.334646,0.0177727
-0.46063,0.34252,0.0170387
-0.46063,0.350394,0.0162946
-0.46063,0.358268,0.0155407
-0.46063,0.366142,0.0147777
-0.46063,0.374016,0.0140058
-0.46063,0.38189,0.0132256
-0.46063,0.389764,0.0124376
-0.46063,0.397638,0.0116421
-0.46063,0.405512,0.0108398
-0.46063,0.413386,0.0100309
-0.46063,0.42126,0.00921613
-0.46063,0.429134,0.00839585
-0.46063,0.437008,0.00757057
-0.46063,0.444882,0.00674079
-0.46063,0.452756,0.005907
-0.46063,0.46063,0.00506969
-0.46063,0.468504,0.00422936
-0.46063,0.476378,0.00338651
-0.46063,0.484252,0.00254165
-0.46063,0.492126,0.00169527
-0.46063,0.5,0.000847889

-0.452756,-0.5,0.000987927
-0.452756,-0.492126,0.00197527
-0.452756,-0.484252,0.00296143
-0.452756,-0.476378,0.00394583
-0.452756,-0.468504,0.00492788
-0.452756,-0.46063,0.005907
-0.452756,-0.452756,0.0068826
-0.452756,-0.444882,0.0078541
-0.452756,-0.437008,0.00882093
-0.452756,-0.429134,0.00978251
-0.452756,-0.42126,0.0107383
-0.452756,-0.413386,0.0116876
-0.452756,-0.405512,0.0126301
-0.452756,-0.397638,0.013565
-0.452756,-0.389764,0.0144918
-0.452756,-0.38189,0.01541
-0.452756,-0.374016,0.016319
-0.452756,-0.366142,0.0172184
-0.452756,-0.358268,0.0181075
-0.452756,-0.350394,0.0189858
-0.452756,-0.34252,0.0198528
-0.452756,-0.334646,0.020708
-0.452756,-0.326772,0.021551
-0.452756,-0.318898,0.0223811
-0.452756,-0.311024,0.0231979
-0.452756,-0.30315,0.0240009
-0.452756,-0.295276,0.0247896
-0.452756,-0.287402,0.0255637
-0.452756,-0.279528,0.0263225
-0.452756,-0.271654,0.0270657
